comm_id;parliament_id;comm_name;comm_maintype;comm_subtype;comm_maintype_abb;comm_subtype_abb;seats;comm_start;comm_end
CH_NT-NR_2015__CH_NT-SR_2015__AG|Kinder_und_Jugend;"CH_NT-NR_2015;CH_NT-SR_2015";Parlamentarische Gruppe Kinder und Jugend;AG;NA;Kinder und Jugend;NA;NA;30nov2015;31dec2100
CH_NT-NR_2015__CH_NT-SR_2015__AG|Drogenpolitik;"CH_NT-NR_2015;CH_NT-SR_2015";Parlamentarische Gruppe Drogenpolitik;AG;NA;Drogenpolitik;NA;NA;30nov2015;31dec2100
CH_NT-NR_2015__CH_NT-SR_2015__AG|Elektromobilitaet;"CH_NT-NR_2015;CH_NT-SR_2015";Parlamentarische Gruppe Elektromobilitaet;AG;NA;Elektromobilitaet;NA;NA;30nov2015;31dec2100
CH_NT-NR_2015__CH_NT-SR_2015__AG|Rassismus_und_Fremdenfeindlichkeit;"CH_NT-NR_2015;CH_NT-SR_2015";Parlamentarische Gruppe gegen Rassismus und Fremdenfeindlichkeit;AG;NA;Rassismus und Fremdenfeindlichkeit;NA;NA;30nov2015;31dec2100
CH_NT-NR_2015__CH_NT-SR_2015__AG|Arbeit;"CH_NT-NR_2015;CH_NT-SR_2015";Parlamentarische Gruppe Arbeit;AG;NA;Arbeit;NA;NA;30nov2015;31dec2100
CH_NT-NR_2015__CH_NT-SR_2015__AG|Groupe_Suisse_-_Solidarite_internationale;"CH_NT-NR_2015;CH_NT-SR_2015";Parlamentarische Gruppe Groupe Suisse SRolidarité internationale;AG;NA;Groupe Suisse - Solidarite internationale;NA;NA;30nov2015;31dec2100
CH_NT-NR_2015__CH_NT-SR_2015__AG|Auslandschweizer;"CH_NT-NR_2015;CH_NT-SR_2015";Parlamentarische Gruppe Auslandschweizer;AG;NA;Auslandschweizer;NA;NA;30nov2015;31dec2100
CH_NT-NR_2015__CH_NT-SR_2015__AG|Schweiz-Naher_Osten;"CH_NT-NR_2015;CH_NT-SR_2015";Parlamentarische Gruppe Schweiz-Naher Osten;AG;NA;Schweiz-Naher Osten;NA;NA;30nov2015;31dec2100
CH_NT-NR_2015__CH_NT-SR_2015__AG|Beziehungen_zum_kurdischen_Volk;"CH_NT-NR_2015;CH_NT-SR_2015";Parlamentarische Gruppe Beziehungen zum kurdischen Volk;AG;NA;Beziehungen zum kurdischen Volk;NA;NA;30nov2015;31dec2100
CH_NT-NR_2015__CH_NT-SR_2015__AG|Beziehungen_Schweiz-Suedafrika;"CH_NT-NR_2015;CH_NT-SR_2015";Parlamentarische Gruppe Beziehungen Schweiz-Suedafrika;AG;NA;Beziehungen Schweiz-Suedafrika;NA;NA;30nov2015;31dec2100
CH_NT-NR_2015__CH_NT-SR_2015__AG|Internationales_Genf;"CH_NT-NR_2015;CH_NT-SR_2015";"Parlamentarische Gruppe ""Internationales Genf""";AG;NA;"""Internationales Genf""";NA;NA;30nov2015;31dec2100
CH_NT-NR_2015__CH_NT-SR_2015__AG|Langsamverkehr;"CH_NT-NR_2015;CH_NT-SR_2015";Parlamentarische Gruppe Langsamverkehr;AG;NA;Langsamverkehr;NA;NA;30nov2015;31dec2100
CH_NT-NR_2015__CH_NT-SR_2015__AG|Biodiversitaet_und_Artenschutz;"CH_NT-NR_2015;CH_NT-SR_2015";Parlamentarische Gruppe Biodiversitaet und Artenschutz;AG;NA;Biodiversitaet und Artenschutz;NA;NA;30nov2015;31dec2100
CH_NT-NR_2015__CH_NT-SR_2015__AG|Schweiz-Kroatien;"CH_NT-NR_2015;CH_NT-SR_2015";Parlamentarische Gruppe Schweiz-Kroatien;AG;NA;Schweiz-Kroatien;NA;NA;30nov2015;31dec2100
CH_NT-NR_2015__CH_NT-SR_2015__AG|Sport;"CH_NT-NR_2015;CH_NT-SR_2015";Parlamentarische Gruppe Sport;AG;NA;Sport;NA;NA;30nov2015;31dec2100
CH_NT-NR_2015__CH_NT-SR_2015__AG|Fanpolitik_in_der_Schweiz;"CH_NT-NR_2015;CH_NT-SR_2015";Parlamentarische Gruppe Fanpolitik in der Schweiz;AG;NA;Fanpolitik in der Schweiz;NA;NA;30nov2015;31dec2100
CH_NT-NR_2015__CH_NT-SR_2015__AG|Schweiz-ASEAN;"CH_NT-NR_2015;CH_NT-SR_2015";Parlamentarische Gruppe Schweiz-ASEAN;AG;NA;Schweiz-ASEAN;NA;NA;30nov2015;31dec2100
CH_NT-NR_2015__CH_NT-SR_2015__AG|Treuhand;"CH_NT-NR_2015;CH_NT-SR_2015";Parlamentarische Gruppe Treuhand;AG;NA;Treuhand;NA;NA;30nov2015;31dec2100
CH_NT-NR_2015__CH_NT-SR_2015__AG|Friedensfoerderung;"CH_NT-NR_2015;CH_NT-SR_2015";Parlamentarische Gruppe Friedensfoerderung;AG;NA;Friedensfoerderung;NA;NA;30nov2015;31dec2100
CH_NT-NR_2015__CH_NT-SR_2015__AG|Rotes_Kreuz;"CH_NT-NR_2015;CH_NT-SR_2015";Parlamentarische Gruppe Rotes Kreuz;AG;NA;Rotes Kreuz;NA;NA;30nov2015;31dec2100
CH_NT-NR_2015__CH_NT-SR_2015__AG|Glasfasernetz_Schweiz;"CH_NT-NR_2015;CH_NT-SR_2015";Parlamentarische Gruppe Glasfasernetz Schweiz;AG;NA;Glasfasernetz Schweiz;NA;NA;30nov2015;31dec2100
CH_NT-NR_2015__CH_NT-SR_2015__AG|Wohn-_und_Immobilienpolitik;"CH_NT-NR_2015;CH_NT-SR_2015";Parlamentarische Gruppe Wohn- und Immobilienpolitik;AG;NA;Wohn- und Immobilienpolitik;NA;NA;30nov2015;31dec2100
CH_NT-NR_2015__CH_NT-SR_2015__AG|Green_Cross;"CH_NT-NR_2015;CH_NT-SR_2015";Parlamentarische Gruppe Green Cross;AG;NA;Green Cross;NA;NA;30nov2015;31dec2100
CH_NT-NR_2015__CH_NT-SR_2015__AG|Wirtschaftsraum_Rhein-Reuss;"CH_NT-NR_2015;CH_NT-SR_2015";Parlamentarische Gruppe Wirtschaftsraum Rhein-Reuss;AG;NA;Wirtschaftsraum Rhein-Reuss;NA;NA;30nov2015;31dec2100
CH_NT-NR_2015__CH_NT-SR_2015__AG|Damensport;"CH_NT-NR_2015;CH_NT-SR_2015";Parlamentarische Damensportgruppe;AG;NA;Damensport;NA;NA;30nov2015;31dec2100
CH_NT-NR_2015__CH_NT-SR_2015__AG|Wald_und_Holz;"CH_NT-NR_2015;CH_NT-SR_2015";Parlamentarische Gruppe Wald und Holz;AG;NA;Wald und Holz;NA;NA;30nov2015;31dec2100
